,grid_id,x,y,visitors
253,5751,70.0,40.0,11
254,5752,71.0,40.0,8
255,5753,72.0,40.0,15
256,5754,73.0,40.0,1
257,5758,77.0,40.0,3
258,5759,78.0,40.0,3
259,5760,79.0,40.0,1
260,5761,80.0,40.0,2
261,5762,81.0,40.0,2
262,5832,9.0,41.0,3
263,5851,28.0,41.0,3
264,5856,33.0,41.0,6
265,5868,45.0,41.0,5
266,5870,47.0,41.0,1
267,5884,61.0,41.0,9
268,5892,69.0,41.0,9
269,5893,70.0,41.0,12
270,5897,74.0,41.0,9
271,5898,75.0,41.0,5
272,5900,77.0,41.0,2
273,5967,2.0,42.0,6
274,5993,28.0,42.0,3
275,6014,49.0,42.0,1
276,6021,56.0,42.0,1
277,6027,62.0,42.0,1
278,6034,69.0,42.0,2
279,6035,70.0,42.0,19
280,6038,73.0,42.0,5
281,6039,74.0,42.0,4
282,6040,75.0,42.0,8
283,6041,76.0,42.0,5
284,6042,77.0,42.0,6
285,6045,80.0,42.0,2
286,6117,10.0,43.0,8
287,6118,11.0,43.0,4
288,6169,62.0,43.0,3
289,6171,64.0,43.0,2
290,6172,65.0,43.0,2
291,6174,67.0,43.0,1
292,6177,70.0,43.0,23
293,6178,71.0,43.0,5
294,6179,72.0,43.0,2
295,6180,73.0,43.0,1
296,6182,75.0,43.0,7
297,6183,76.0,43.0,18
298,6185,78.0,43.0,1
299,6187,80.0,43.0,2
300,6188,81.0,43.0,22
301,6255,6.0,44.0,5
302,6259,10.0,44.0,9
303,6282,33.0,44.0,1
304,6283,34.0,44.0,4
305,6301,52.0,44.0,2
306,6309,60.0,44.0,4
307,6320,71.0,44.0,3
309,6322,73.0,44.0,8
310,6324,75.0,44.0,12
311,6325,76.0,44.0,19
312,6326,77.0,44.0,48
313,6327,78.0,44.0,12
314,6328,79.0,44.0,3
315,6329,80.0,44.0,6
316,6330,81.0,44.0,11
317,6331,82.0,44.0,9
318,6540,7.0,46.0,3
319,6542,9.0,46.0,4
320,6546,13.0,46.0,1
322,6553,20.0,46.0,2
323,6561,28.0,46.0,3
324,6565,32.0,46.0,10
325,6571,38.0,46.0,1
326,6575,42.0,46.0,3
327,6578,45.0,46.0,1
328,6582,49.0,46.0,3
329,6583,50.0,46.0,4
330,6588,55.0,46.0,9
331,6601,68.0,46.0,7
332,6605,72.0,46.0,7
333,6606,73.0,46.0,20
334,6607,74.0,46.0,14
335,6608,75.0,46.0,49
336,6609,76.0,46.0,43
337,6610,77.0,46.0,62
338,6611,78.0,46.0,37
339,6612,79.0,46.0,23
340,6613,80.0,46.0,2
341,6615,82.0,46.0,9
342,6683,8.0,47.0,51
343,6684,9.0,47.0,32
344,6686,11.0,47.0,1
345,6705,30.0,47.0,5
346,6710,35.0,47.0,4
347,6717,42.0,47.0,9
348,6724,49.0,47.0,3
349,6727,52.0,47.0,2
350,6731,56.0,47.0,2
351,6739,64.0,47.0,9
352,6741,66.0,47.0,2
353,6742,67.0,47.0,2
354,6743,68.0,47.0,8
355,6745,70.0,47.0,1
356,6747,72.0,47.0,13
357,6748,73.0,47.0,1
358,6749,74.0,47.0,3
359,6750,75.0,47.0,24
360,6751,76.0,47.0,13
361,6752,77.0,47.0,49
362,6753,78.0,47.0,9
363,6754,79.0,47.0,17
364,6755,80.0,47.0,4
365,6756,81.0,47.0,28
366,6757,82.0,47.0,3
367,6824,7.0,48.0,1
368,6834,17.0,48.0,1
369,6836,19.0,48.0,2
370,6845,28.0,48.0,40
371,6846,29.0,48.0,20
372,6847,30.0,48.0,46
373,6850,33.0,48.0,2
374,6852,35.0,48.0,7
375,6857,40.0,48.0,7
376,6860,43.0,48.0,3
377,6861,44.0,48.0,7
378,6865,48.0,48.0,2
379,6873,56.0,48.0,1
380,6877,60.0,48.0,6
381,6878,61.0,48.0,1
382,6893,76.0,48.0,3
383,6894,77.0,48.0,7
384,6895,78.0,48.0,10
385,6896,79.0,48.0,4
386,6897,80.0,48.0,1
387,6898,81.0,48.0,8
388,6899,82.0,48.0,1
389,6964,5.0,49.0,3
390,6976,17.0,49.0,1
391,6982,23.0,49.0,1
392,6988,29.0,49.0,104
393,6989,30.0,49.0,81
394,6990,31.0,49.0,8
395,6992,33.0,49.0,3
396,6993,34.0,49.0,1
397,6995,36.0,49.0,5
398,7000,41.0,49.0,2
399,7010,51.0,49.0,2
400,7017,58.0,49.0,15
401,7019,60.0,49.0,8
402,7022,63.0,49.0,10
403,7026,67.0,49.0,5
404,7027,68.0,49.0,1
405,7031,72.0,49.0,15
406,7032,73.0,49.0,14
407,7034,75.0,49.0,13
408,7035,76.0,49.0,1
409,7036,77.0,49.0,8
410,7037,78.0,49.0,28
411,7038,79.0,49.0,3
412,7039,80.0,49.0,2
413,7040,81.0,49.0,4
414,7110,9.0,50.0,7
415,7111,10.0,50.0,2
416,7114,13.0,50.0,1
417,7115,14.0,50.0,1
418,7118,17.0,50.0,1
419,7120,19.0,50.0,3
420,7125,24.0,50.0,1
421,7126,25.0,50.0,2
422,7129,28.0,50.0,17
423,7130,29.0,50.0,26
424,7131,30.0,50.0,10
425,7132,31.0,50.0,2
426,7134,33.0,50.0,1
427,7135,34.0,50.0,5
428,7150,49.0,50.0,4
429,7153,52.0,50.0,2
431,7155,54.0,50.0,1
432,7156,55.0,50.0,3
433,7159,58.0,50.0,7
434,7164,63.0,50.0,1
435,7165,64.0,50.0,12
436,7169,68.0,50.0,3
437,7171,70.0,50.0,1
438,7172,71.0,50.0,1
439,7173,72.0,50.0,5
440,7174,73.0,50.0,4
441,7176,75.0,50.0,6
442,7177,76.0,50.0,8
443,7178,77.0,50.0,10
444,7179,78.0,50.0,34
445,7180,79.0,50.0,9
446,7181,80.0,50.0,2
447,7183,82.0,50.0,1
448,7252,9.0,51.0,9
449,7253,10.0,51.0,1
450,7258,15.0,51.0,5
451,7260,17.0,51.0,2
452,7263,20.0,51.0,4
453,7270,27.0,51.0,9
454,7273,30.0,51.0,24
455,7276,33.0,51.0,1
456,7277,34.0,51.0,6
457,7278,35.0,51.0,9
458,7279,36.0,51.0,3
459,7283,40.0,51.0,1
460,7284,41.0,51.0,3
461,7296,53.0,51.0,4
462,7297,54.0,51.0,9
463,7300,57.0,51.0,4
464,7305,62.0,51.0,5
465,7306,63.0,51.0,3
466,7309,66.0,51.0,6
467,7310,67.0,51.0,12
468,7311,68.0,51.0,12
469,7312,69.0,51.0,9
470,7313,70.0,51.0,12
