,source,target,weight
1112,2616,6605,1.0
1113,5462,6605,1.0
1114,6039,6605,1.0
1115,6177,6605,1.0
1116,6607,6605,1.0
1117,6745,6605,1.0
1118,16365,6605,1.0
1119,2618,2898,1.0
1120,2621,2904,1.0
1121,2758,2904,1.0
1122,2759,2904,1.0
1123,2734,3302,1.0
1124,3042,3302,1.0
1125,3457,3302,1.0
1126,3590,3302,5.0
1127,6989,3302,1.0
1128,2734,7986,1.0
1129,3600,7986,1.0
1130,3613,7986,1.0
1131,5577,7986,1.0
1132,7278,7986,1.0
1133,7985,7986,1.0
1134,8128,7986,1.0
1135,8131,7986,1.0
1136,8139,7986,2.0
1137,8270,7986,1.0
1138,8273,7986,1.0
1139,8409,7986,3.0
1140,8412,7986,1.0
1141,8414,7986,1.0
1142,8691,7986,1.0
1143,8699,7986,2.0
1144,8814,7986,1.0
1145,8833,7986,1.0
1146,8834,7986,4.0
1147,8835,7986,1.0
1148,8978,7986,1.0
1149,9439,7986,1.0
1150,9959,7986,1.0
1151,2750,4321,2.0
1152,3042,4321,1.0
1153,4034,4321,1.0
1154,5892,4321,1.0
1155,6035,4321,1.0
1156,2751,3328,1.0
1157,2902,3328,3.0
1158,3042,3328,3.0
1159,3185,3328,2.0
1160,2753,1901,2.0
1161,2759,1901,2.0
1162,3185,1901,1.0
1163,2753,3615,1.0
1164,3185,3615,2.0
1165,3186,3615,1.0
1166,3472,3615,1.0
